Trial,Tank,Group,Food_given,Leftover_food,Leftover_novel,Group_size,,,,,,,
2,2,2B_2,4,0,4,2,,,,,,,
2,3,4A_2,8,2,8,4,,,,,,,
2,4,4B_2,8,0,8,4,,,,,,,
2,5,8E_2,16,1,NA,8,,,,,,,
2,6,8F_2,16,7,16,8,,,,,,,
2,7,2C_2,4,0,4,2,,,,,,,
2,8,2D_2,4,0,4,2,,,,,,,
2,11,8G_2,16,2,15,8,,,,,,,
2,12,8H_2,16,0,16,8,,,,,,,
2,1,2E_2,4,2,4,2,,,,,,,
2,2,2F_2,4,1,4,2,,,,,,,
2,3,4E_2,8,1,8,4,,,,,,,
2,4,4F_2,8,2,8,4,,,,,,,
2,7,2G_2,4,2,4,2,,,,,,,
2,9,4G_2,8,1,8,4,,,,,,,
2,10,4H_2,8,2,8,4,,,,,,,
2,9,4C_2,8,0,8,4,,,,,,,
2,10,4D_2,8,2,8,4,,,,,,,
2,1,2I_2,4,2,4,2,,,,,,,
2,2,2J_2,4,0,4,2,,,,,,,
2,3,4I_2,8,0,8,4,,,,,,,
2,5,8I_2,16,0,14,8,,,,,,,
2,7,2L_2,4,4,4,2,,,,,,,
2,8,2M_2,4,0,4,2,,,,,,,
2,9,4P_2,8,0,3,4,,,,,,,
2,11,8K_2,16,0,16,8,,,,,,,
2,12,8L_2,16,6,16,8,,,,,,,
2,1,2N_2,4,2,4,2,,,,,,,
2,2,2O_2,4,4,4,2,,,,,,,
2,3,4M_2,8,0,8,4,,,,,,,
2,4,4O_2,8,0,8,4,,,,,,,
2,5,8M_2,16,1,16,8,,,,,,,
2,6,8N_2,16,0,16,8,,,,,,,
2,7,2P_2,4,5,4,2,,,,,,,
2,11,8O_2,16,3,16,8,,,,,,,
2,12,8P_2,16,1,16,8,,,,,,,
3,1,2A_2,4,2,NA,2,,,,,,,
3,2,2B_2,4,0,NA,2,,,,,,,
3,3,4A_2,8,3,NA,4,,,,,,,
3,4,4B_2,8,0,NA,4,,,,,,,
3,5,8E_2,16,5,NA,8,,,,,,,
3,7,2C_2,4,2,NA,2,,,,,,,
3,8,2D_2,4,0,NA,2,,,,,,,
3,10,4D_2,8,0,NA,4,,,,,,,
3,3,4E_2,8,0,NA,4,,,,,,,
3,7,2G_2,4,0,NA,2,,,,,,,
3,9,4G_2,8,0,NA,4,,,,,,,
3,10,4H_2,8,4,NA,4,,,,,,,
3,1,2I_2,4,1,NA,2,,,,,,,
3,2,2J_2,4,0,NA,2,,,,,,,
3,3,4M_2,8,0,NA,4,,,,,,,
3,4,4O_2,8,0,NA,4,,,,,,,
3,5,8M_2,16,0,NA,8,,,,,,,
3,6,8N_2,16,0,NA,8,,,,,,,
3,7,2L_2,4,0,NA,2,,,,,,,
3,8,2M_2,4,0,NA,2,,,,,,,
3,11,8K_2,16,2,NA,8,,,,,,,
3,1,2N_2,4,2,NA,2,,,,,,,
3,7,2P_2,4,4,NA,2,,,,,,,
3,11,8O_2,16,0,NA,8,,,,,,,
3,12,8P_2,16,3,NA,8,,,,,,,
