Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH4,1,2,8,2D_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH4,2,2,8,2H_3,14,26258,21,35745,0,0,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH5,1,2,9,4C_3,0,0,6,7007,0,0,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH5,2,2,9,4G_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH5,1,2,10,4D_3,37,99120,12,36355,16,124685,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH5,2,2,10,4H_3,0,0,21,68323,1,854,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH6,1,2,11,8C_3,1,272,18,20710,1,923,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH6,2,2,11,8G_3,0,0,11,12672,11,13124,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH6,2,2,12,8H_3,0,0,0,0,1,726,,,,,,,,,,,,,,,,,,,,,
10/10/17,RH1,1,2,1,2I_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/10/17,RH2,1,2,3,4I_3,8,22921,0,0,4,3944,,,,,,,,,,,,,,,,,,,,,
10/10/17,RH2,1,2,4,4J_3,4,20078,9,35489,2,4428,,,,,,,,,,,,,,,,,,,,,
10/10/17,RH3,1,2,5,8I_3,1,752,2,1992,0,0,,,,,,,,,,,,,,,,,,,,,
10/10/17,RH3,1,2,6,8J_3,40,60373,37,41366,11,21360,,,,,,,,,,,,,,,,,,,,,
10/10/17,RH6,1,2,12,8L_3,0,0,0,0,3,2357,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH1,1,3,1,2A_3,13,35705,34,69574,25,118401,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH1,2,3,1,2E_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH1,1,3,2,2B_3,16,64931,12,21240,11,34044,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH1,2,3,2,2F_3,2,2591,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH2,1,3,3,4A_3,6,8060,13,50282,17,107562,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH2,1,3,4,4B_3,0,0,9,7030,1,3751,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH2,2,3,4,4F_3,4,4774,12,17578,0,0,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH3,1,3,5,8A_3,18,16696,15,10999,30,58372,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH3,1,3,6,8B_3,1,319,16,9436,23,17303,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH4,1,3,7,2C_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH4,2,3,7,2G_3,0,0,6,5250,3,4721,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH4,1,3,8,2D_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH4,2,3,8,2H_3,0,0,2,2193,0,0,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH5,1,3,9,4C_3,0,0,2,1220,0,0,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH5,2,3,9,4G_3,0,0,0,0,1,835,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH5,1,3,10,4D_3,40,133372,22,41781,5,5806,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH5,2,3,10,4H_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH6,1,3,11,8C_3,0,0,3,1879,2,5718,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH6,2,3,11,8G_3,0,0,16,10514,5,6756,,,,,,,,,,,,,,,,,,,,,
10/11/17,RH6,2,3,12,8H_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/12/17,RH1,1,3,1,2I_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/12/17,RH3,1,3,5,8I_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/12/17,RH3,1,3,6,8J_3,37,58532,18,16637,7,6064,,,,,,,,,,,,,,,,,,,,,
10/12/17,RH6,1,3,12,8L_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
