Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,,,,,,,,,,,,,,,,,,,,,
8/17/17,RH5 81717,"1,2,3,4,5,6,7,8",2,10,4D,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
8/17/17,RH6 81717,"1,2,3,4,5,6,7,8,9,10",2,11,8E,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
8/17/17,RH6 81717,"1,2,3,4,5,6,7,8,9,10",2,12,8G,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH1,2,2,1,2M,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH1,1,2,2,2J,0,0,6,4846,2,7804,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH1,2,2,2,2N,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH2,1,2,4,4K,0,0,2,2495,1,1714,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH2,2,2,4,4N,21,70590,25,60969,19,34909,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH3,2,2,5,8O,30,63771,13,19430,21,48429,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH4,2,2,7,2O,0,0,2,1232,1,598,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH4,1,2,8,2L,0,0,1,295,3,3229,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH4,2,2,8,2P,0,0,1,440,0,0,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH5,1,2,9,4L,23,201163,23,104585,13,124455,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH5,1,2,10,4J,14,43867,27,46907,12,29584,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH6,1,2,11,8K,10,11868,24,43763,6,12764,,,,,,,,,,,,,,,,,,,,,
8/18/17,RH6,1,2,12,8L,0,0,36,48849,24,28337,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH1,1,3,2,2B,8,65474,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH2,1,3,3,4A,20,33697,24,135137,3,8301,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH3 ,1,3,6,8F,0,0,NA,NA,0,0,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH4,1,3,7,2C,6,11799,0,0,2,1391,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH4,2,3,7,2H,0,0,0,0,1,2304,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH4,1,3,8,2D,11,37026,4,16031,0,0,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH4,2,3,8,2G,14,143599,20,114353,0,0,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH5,1,3,9,4C,26,82546,12,111709,24,61715,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH5,1,3,10,4D,33,84396,28,97628,5,22926,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH6,1,3,11,8E,35,71207,13,22354,4,15681,,,,,,,,,,,,,,,,,,,,,
8/19/17,RH6,1,3,12,8G,0,0,0,0,2,2264,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH1,2,3,1,2M,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH1,1,3,2,2J,3,2681,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH1,2,3,2,2N,0,0,2,2945,0,0,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH2,1,3,4,4K,17,46658,10,26384,3,4759,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH2,2,3,4,4N,2,4999,2,1478,0,0,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH3,1,3,5,8O,51,99414,51,98223,38,60598,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH4,2,3,7,2O,7,167075,11,55244,10,73516,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH4,1,3,8,2L,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH4,2,3,8,2P,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH5,"1,2",3,10,4J,0,0,11,36136,0,0,,,,,,,,,,,,,,,,,,,,,
8/20/17,RH6,1,3,12,8L,16,20403,20,21114,36,76919,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH1,1,1,1,2A_2,0,0,0,0,1,915,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH1,2,1,1,2E_2,1,9735,0,0,9,13254,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH1,1,1,2,2B_2,3,2278,3,32767,12,35665,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH1,2,1,2,2F_2,0,0,5,16095,7,28828,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH2,1,1,3,4A_2,4,5943,1,1760,0,0,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH2,2,1,3,4E_2,0,0,7,25140,0,0,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH2,1,1,4,4B_2,0,0,8,25209,1,719,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH2,2,1,4,4F_2,0,0,6,13063,0,0,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH3,2,1,5,8E_2,1,568,28,39585,5,9098,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH3,1,1,6,8B_2,1,471,13,15189,0,0,,,,,,,,,,,,,,,,,,,,,
