Date,Video Folder,Video #,Trial,Tank,Group,Novel Food,Leftover Food,Food Input,Proportion Eaten Food,Leftover Novel,Novel Input,Proportion Eaten Novel,Notes,,,,,,,,
8/18/17,RH5,1,2,9,4L,Bead,0,8,1,7,8,0,,,,,,,,,
10/1/17,RH2,2,2,3,4M_2,Bead,0,8,1,8,8,0,,,,,,,,,
8/18/17,RH2,2,2,4,4N,Bead,6,8,0.25,8,8,0,,,,,,,,,
10/1/17,RH2,2,2,4,4O_2,Bead,0,8,1,8,8,0,,,,,,,,,
10/1/17,RH5,1,2,9,4P_2,Bead,0,8,1,3,8,0,*beads stuck in tube,,,,,,,,
10/9/17,RH3,1,2,5,8A_3,Bead,0,16,1,16,16,0,,,,,,,,,
10/9/17,RH3,1,2,6,8B_3,Bead,0,16,1,16,16,0,,,,,,,,,
10/9/17,RH6,1,2,11,8C_3,Bead,0,16,1,16,16,0,,,,,,,,,
8/17/17,RH3 81717,1,2,6,8D,Bead,2,16,0.875,15,16,0,,,,,,,,,
8/17/17,RH6 81717,"1,2,3,4,5,6,7,8,9,10",2,11,8E,Bead,0,16,1,16,16,0,"*Camera malfuctioning, pieced video, might be missing a seconds/minutes between chuncks",,,,,,,,
9/30/17,RH3,1,2,5,8E_2,Bead,1,16,0.9375,NA,16,NA,,,,,,,,,
10/9/17,RH3,2,2,5,8E_3,Bead,0,16,1,16,16,0,,,,,,,,,
8/17/17,RH3 81717,2,2,6,8F,Bead,8,16,0.5,16,16,0,,,,,,,,,
9/30/17,RH3,1,2,6,8F_2,Bead,7,16,0.5625,16,16,0,,,,,,,,,
8/17/17,RH6 81717,"1,2,3,4,5,6,7,8,9,10",2,12,8G,Bead,4,16,0.75,16,16,0,"*one baby birthed during trial *Camera malfuctioning, pieced video, might be missing a seconds/minutes between chuncks",,,,,,,,
9/30/17,RH6,1,2,11,8G_2,Bead,2,16,0.875,15,16,0,*drop broke *only 7 fish when taken out…watch video to see what went wrong (were there 8 to begin with?),,,,,,,,
10/9/17,RH6,2,2,11,8G_3,Bead,0,16,1,16,16,0,,,,,,,,,
9/30/17,RH6,1,2,12,8H_2,Bead,0,16,1,16,16,0,*drop broke,,,,,,,,
10/9/17,RH6,2,2,12,8H_3,Bead,0,16,1,16,16,0,,,,,,,,,
10/1/17,RH3,1,2,5,8I_2,Bead,0,16,1,14,16,0,,,,,,,,,
